text,true_label,pred_label,finbert_conf,rule_label,rule_conf
$ALLY - Ally Financial pulls outlook https://t.co/G9Zdi1boy5,Bearish,Neutral,0.8961957,Neutral,0.6
"$DELL $HPE - Dell, HPE targets trimmed on compute headwinds https://t.co/YRUHZw7cYl",Bearish,Neutral,0.46975887,Neutral,0.6
$TAP - Barclays cools on Molson Coors https://t.co/FJFsZWJHuH,Bearish,Neutral,0.39768428,Neutral,0.6
$TAP: Barclays cuts to Equal Weight,Bearish,Neutral,0.6694855,Bearish,0.65
"Analysts Eviscerate Musk's Cybertruck: ""0% Of Responses Felt It Will Be A Success"" https://t.co/2NTzeZea4G",Bearish,Neutral,0.5166353,Neutral,0.6
Barclays assigns only a 20% chance that studies on a Gilead antiviral drug being done in China will succeed against… https://t.co/lIgDhy1Gli,Bearish,Neutral,0.5110664,Neutral,0.6
BTIG points to breakfast pressure for Dunkin' Brands,Bearish,Neutral,0.8521539,Neutral,0.6
Clovis Oncology downgraded to in line from outperform at Evercore ISI,Bearish,Neutral,0.59527797,Neutral,0.6
Downgrades 4/7: $AAN $BDN $BECN $BTE $CDEV $CHK $COOP $CPE $CVA $DAN $DOC $DRH $EPR $ESRT $ETM $FAST $FBM $GM $GMS… https://t.co/CMXD50oQxI,Bearish,Neutral,0.8356529,Neutral,0.6
Goldman pulls Progressive from Goldman's conviction list; shares -2.7%,Bearish,Neutral,0.4909909,Neutral,0.6
Trendforce cuts iPhone estimate after Foxconn delay,Bearish,Neutral,0.6563993,Bearish,0.65
"Wayfair price target lowered to $110 from $120 at Stifel, buy rating maintained",Bearish,Bullish,0.64495844,Bullish,0.65
$ENR - Energizer shakes off JPMorgan's bear call https://t.co/w83qnp2ni5,Bullish,Bearish,0.45090878,Bearish,0.65
$NKE - BMO Capital joins Nike bull camp https://t.co/diInCmHUi5,Bullish,Neutral,0.87201643,Bullish,0.65
$SMPQY $HSIC $XRAY - Goldman ups view on Henry Schein in premarket analyst action https://t.co/ZjKejttior,Bullish,Neutral,0.92047507,Neutral,0.6
$STML: Alliance Global Partners starts at Buy https://t.co/MCyfTsXc2N,Bullish,Neutral,0.9056767,Bullish,0.65
$ZYME: H.C. Wainwright starts at Buy,Bullish,Neutral,0.93000895,Bullish,0.65
AMD +1.3% after Cowen's target lift,Bullish,Neutral,0.581729,Neutral,0.6
Boeing started at buy with $375 stock price target at Benchmark,Bullish,Neutral,0.8270039,Bullish,0.65
Champions Oncology started at speculative buy with $11 stock price target at Benchmark,Bullish,Neutral,0.88670343,Bullish,0.65
Halliburton started at buy with $26 stock price target at Deutsche Bank,Bullish,Neutral,0.84763706,Bullish,0.65
Highlight: Edward Jones Sr. Equity Analyst Jennifer Roland on ExxonMobil reducing 2020 Capex by 30%: “Definitely a… https://t.co/dH0xlJujc1,Bullish,Neutral,0.86623496,Neutral,0.6
Liberty Global PLC maintained as buy with $32 price target at Benchmark,Bullish,Neutral,0.82116634,Bullish,0.65
Lumentum initiated as positive at Susquehanna,Bullish,Neutral,0.9026457,Bullish,0.65
Markel Corporation Beat Analyst Estimates: See What The Consensus Is Forecasting For Next Year,Bullish,Neutral,0.80918497,Bullish,0.65
Peloton bulls defend the upside case,Bullish,Neutral,0.78976834,Neutral,0.6
Piper Jaffray analyst Erinn Murphy reiterated an Overweight rating and $44.00 price target on Crocs (NASDAQ: $CROX)… https://t.co/iVlcTMWm1r,Bullish,Neutral,0.6611439,Neutral,0.6
Progyny started at overweight with $26 stock price target at J.P. Morgan,Bullish,Neutral,0.8883429,Neutral,0.6
TechnipFMC started at buy with $33 stock price target at Deutsche Bank,Bullish,Neutral,0.82346195,Bullish,0.65
"UBS Upgrades Hasbro As Stock Price Bakes In Tariffs, Slow Holiday",Bullish,Neutral,0.4025243,Neutral,0.6
Analyst: Amazon Blocking FedEx Ground Good News For UPS,Neutral,Bullish,0.7629654,Bullish,0.65
Mitek bull calls pullback 'an overreaction',Neutral,Bearish,0.7853483,Bullish,0.65
"Former Federal Reserve Chairman Ben Bernanke says he doesn't see a quick, sharp rebound in the economy after its pr… https://t.co/pu15VlJ4IO",Bearish,Neutral,0.4952893,Neutral,0.6
Jerome Powell comes close to acknowledging that the Federal Reserve may not have the firepower to fight the next re… https://t.co/UD2rqlD6SD,Bearish,Neutral,0.75955135,Neutral,0.85
"No, The Fed Won't ""Save The Market"" - Here's Why  https://t.co/Ibq99qWSFz",Bearish,Neutral,0.9255552,Neutral,0.6
"""There is every reason to believe that the economic rebound, when it comes, can be robust,"" Fed Chair Jerome Powell… https://t.co/Ovi6BRM3TK",Bullish,Neutral,0.72353595,Neutral,0.6
$ECONX: Federal Reserve announces extensive new measures to support the economy https://t.co/Gf6CfThO7r,Neutral,Bullish,0.6735882,Neutral,0.6
Commercial and industrial loans at all commercial banks climb by $105.8 billion to $2.845 trillion in the week endi… https://t.co/jTTkUE4l0L,Neutral,Bullish,0.8390975,Neutral,0.6
Fed surprises market with program to support corporate bonds amid coronavirus pandemic https://t.co/NLeJwjmyXw,Neutral,Bullish,0.8179769,Neutral,0.6
Bank agencies announced they'll temporarily lower the community bank leverage ratio to 8%. The rule change - requir… https://t.co/m6N7S7zEwo,Neutral,Bearish,0.60305524,Bearish,0.65
Brazil economists forecast more rate cuts ahead https://t.co/MVimfZn0x9,Neutral,Bullish,0.686135,Bearish,0.65
Fed Chair Jerome Powell was chided by a Democratic lawmaker for his attendance at a party thrown by Amazon CEO Jeff… https://t.co/BNq5I9PUqc,Neutral,Bearish,0.70140463,Neutral,0.6
Fed's 42-Day Repo 2x Oversubscribed In Scramble For Year End Liquidity https://t.co/skVPSppwaY,Neutral,Bearish,0.83953595,Neutral,0.6
Markets bet Fed is pushed to cut rates in coronavirus response https://t.co/4NDOpE6Kka https://t.co/8L2dYY8EYK,Neutral,Bearish,0.58156526,Bearish,0.65
RBI’s Long-Term Repo Operations Seen As Stealth Move To Bring Down Rates,Neutral,Bearish,0.40159076,Bearish,0.65
Spain to guarantee up to 80% of SME bank loans to ease virus impact #economy #MarketScreener https://t.co/SAmTS65y1z https://t.co/JFT2FzyZVp,Neutral,Bullish,0.727701,Bullish,0.65
The Fed mounted an extraordinary new array of programs to offset the 'severe disruptions' to the economy caused by… https://t.co/Q0oP8CE8Vy,Neutral,Bullish,0.7803019,Neutral,0.6
Zambia’s kwacha staged a comeback on Tuesday after the central bank raised the amount of funds that commercial lend… https://t.co/oS097rGn8S,Neutral,Bullish,0.575343,Bullish,0.65
Bank of America sees demand surge for paycheck protection loans https://t.co/6feALqK8zN,Bearish,Bullish,0.86329895,Bullish,0.65
BREAKING: FDA issues ban on some fruit and mint flavored vaping products https://t.co/MxWx3AqSi8,Bearish,Neutral,0.5290466,Neutral,0.6
Fiat Chrysler Relies on Ram Growth as Europe Losses Mount,Bearish,Neutral,0.69120413,Neutral,0.6
"ICYMI: Transport for London said Uber $UBER was not ""fit and proper"" to hold an operating license in London after a… https://t.co/6KXYb2e38V",Bearish,Neutral,0.6268523,Neutral,0.6
Mahindra Says Coronavirus May Jeopardize India Emissions Rollout,Bearish,Neutral,0.7735108,Neutral,0.85
"NTSB cites Uber, driver in fatal crash",Bearish,Neutral,0.48200285,Neutral,0.6
NVIDIA's New Cloud Service Could Spell Doom for Google's Stadia,Bearish,Neutral,0.7554467,Neutral,0.85
PG&E Loses Half of Financial Backing for Bankruptcy in New Pacts,Bearish,Neutral,0.5767454,Neutral,0.6
"Stock Market Live Updates: Home Depot faults tariffs, lumber prices for grim quarter - Yahoo Finance",Bearish,Neutral,0.8005532,Neutral,0.6
"Trans Mountain Costs to Increase 70% to $9.5 Billion, CBC Says",Bearish,Bullish,0.8556284,Neutral,0.6
"Transport for London has decided not to extend Uber’s license to operate in the city. In a statement, transit offic… https://t.co/Wh2Fx1FLgh",Bearish,Neutral,0.8849083,Neutral,0.6
Tuna maker Bumble Bee Foods has filed for Chapter 11 bankruptcy protection. https://t.co/d2gVKB0BB3,Bearish,Neutral,0.49223998,Neutral,0.6
WeWork Could Leave Thousands Without Jobs,Bearish,Neutral,0.5008818,Neutral,0.85
